,id_x,url,text,rating_x,time_created,user,index,id_y,alias,name,image_url,is_closed,review_count,categories,rating_y,coordinates,transactions,price,location,phone,display_phone,distance
0,fcWBPRhYHm4RaAtQtw4tMg,https://www.yelp.com/biz/kfc-atlanta-15,I went here tonight to get some food with my friend and from the time I pulled up to order my food and get my food it was already a terrible...,1,2019-12-25 18:13:27,"{'id': 'qO6mPdJF05r3486qxymr9g', 'profile_url': 'https://www.yelp.com/user_details?userid=qO6mPdJF05r3486qxymr9g', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/Mx2gfwhpMKOxI7WxCT2r9Q/o.jpg', 'name': 'Simone S.'}",0,xzpiWdfwqF-8lDpAjAzdCg,kfc-atlanta-15,KFC,https://s3-media3.fl.yelpcdn.com/bphoto/FSQbczMYUXmb765YFh6ejw/o.jpg,False,23,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",2.0,"{'latitude': 33.8572519952499, 'longitude': -84.3123}","['delivery', 'pickup']",$,"{'address1': '3901 Buford Hwy NE', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30329', 'country': 'US', 'state': 'GA', 'display_address': ['3901 Buford Hwy NE', 'Atlanta, GA 30329']}",+14046348416,(404) 634-8416,7487.599591897082
1,JyX3CYdswnBkZ2shG6c__A,https://www.yelp.com/biz/kfc-atlanta-15,Two lousy buckets of chicken in two months. We used to love KFC but this specific restaurant has killed our taste for KFC. The last 12 piece bucket we...,1,2020-04-20 21:21:12,"{'id': 'DxrsfOSpHLkK4JqrcNCpVQ', 'profile_url': 'https://www.yelp.com/user_details?userid=DxrsfOSpHLkK4JqrcNCpVQ', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/B2grKoE-405hvtrGWxcKhQ/o.jpg', 'name': 'Dog Lover E.'}",0,xzpiWdfwqF-8lDpAjAzdCg,kfc-atlanta-15,KFC,https://s3-media3.fl.yelpcdn.com/bphoto/FSQbczMYUXmb765YFh6ejw/o.jpg,False,23,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",2.0,"{'latitude': 33.8572519952499, 'longitude': -84.3123}","['delivery', 'pickup']",$,"{'address1': '3901 Buford Hwy NE', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30329', 'country': 'US', 'state': 'GA', 'display_address': ['3901 Buford Hwy NE', 'Atlanta, GA 30329']}",+14046348416,(404) 634-8416,7487.599591897082
2,PQbQfiuXI6kGUvFSKQoGFw,https://www.yelp.com/biz/kfc-atlanta-15,"On several occasions I've come maybe an hour or so before close (9:45-9:50 and they ""supposedly"" close at 11 pm) and they're ALWAYS ""out"" of everything...",1,2020-01-24 18:59:20,"{'id': 'exvovzDMtu3JIqAnd5gZzg', 'profile_url': 'https://www.yelp.com/user_details?userid=exvovzDMtu3JIqAnd5gZzg', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/HJ34SX1bAvEfzX1vzn_Yig/o.jpg', 'name': 'Taeisha W.'}",0,xzpiWdfwqF-8lDpAjAzdCg,kfc-atlanta-15,KFC,https://s3-media3.fl.yelpcdn.com/bphoto/FSQbczMYUXmb765YFh6ejw/o.jpg,False,23,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",2.0,"{'latitude': 33.8572519952499, 'longitude': -84.3123}","['delivery', 'pickup']",$,"{'address1': '3901 Buford Hwy NE', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30329', 'country': 'US', 'state': 'GA', 'display_address': ['3901 Buford Hwy NE', 'Atlanta, GA 30329']}",+14046348416,(404) 634-8416,7487.599591897082
3,tUKnjbbxEYiIRDIrY0qbvw,https://www.yelp.com/biz/kfc-atlanta-13,"Rude and ghetto , you will be talking to
2 different ppl at the driver thru every time and will short you on your order.",1,2020-04-17 17:32:01,"{'id': '5rQPWf9pVjDy7pyIrOYV4g', 'profile_url': 'https://www.yelp.com/user_details?userid=5rQPWf9pVjDy7pyIrOYV4g', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/fKu-to_XHXjo3JPkjiLP9Q/o.jpg', 'name': 'Caleb T.'}",1,HUIryOh9NeTfZIBxDm6Xlg,kfc-atlanta-13,KFC,https://s3-media2.fl.yelpcdn.com/bphoto/kE3KeSZdxIkHPHDGOwPW4Q/o.jpg,False,12,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",2.5,"{'latitude': 33.7537826339615, 'longitude': -84.417801}","['delivery', 'pickup']",$,"{'address1': '23 Joseph E Lowery Blvd SW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30314', 'country': 'US', 'state': 'GA', 'display_address': ['23 Joseph E Lowery Blvd SW', 'Atlanta, GA 30314']}",+14047569481,(404) 756-9481,7767.726876880601
4,hvL3wUFtfYXfiNU956R6Gg,https://www.yelp.com/biz/kfc-smyrna-4,"Would leave a once star review if i could.
I ordered the $30 fill up. once I got home (7 miles away), I discovered they had not included the chicken strip...",1,2020-05-31 15:55:24,"{'id': '-Dz9WQ6UpS8VyXOhn2z86Q', 'profile_url': 'https://www.yelp.com/user_details?userid=-Dz9WQ6UpS8VyXOhn2z86Q', 'image_url': None, 'name': 'Ryan H.'}",2,IWRuceO5N4-xYZwJFKUhIQ,kfc-smyrna-4,KFC,https://s3-media2.fl.yelpcdn.com/bphoto/yL_DRtdWHB7Fg1P6DEQGyQ/o.jpg,False,22,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",1.5,"{'latitude': 33.889211364412, 'longitude': -84.4738735422869}","['delivery', 'pickup']",$,"{'address1': '2637 Cobb Pkwy SE', 'address2': '', 'address3': '', 'city': 'Smyrna', 'zip_code': '30080', 'country': 'US', 'state': 'GA', 'display_address': ['2637 Cobb Pkwy SE', 'Smyrna, GA 30080']}",+17708500940,(770) 850-0940,12534.424730380128
5,nk9-oYuSnuXdeaOLMJI0xA,https://www.yelp.com/biz/kfc-smyrna-4,I ordered online and set it to be delivered. I waited 29 minutes after it was supposed to be delivered before going up to the restaurant and grabbing the...,1,2020-04-28 12:03:59,"{'id': '9NQzROiczjgftqeg6qxqEQ', 'profile_url': 'https://www.yelp.com/user_details?userid=9NQzROiczjgftqeg6qxqEQ', 'image_url': None, 'name': 'Addy G.'}",2,IWRuceO5N4-xYZwJFKUhIQ,kfc-smyrna-4,KFC,https://s3-media2.fl.yelpcdn.com/bphoto/yL_DRtdWHB7Fg1P6DEQGyQ/o.jpg,False,22,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",1.5,"{'latitude': 33.889211364412, 'longitude': -84.4738735422869}","['delivery', 'pickup']",$,"{'address1': '2637 Cobb Pkwy SE', 'address2': '', 'address3': '', 'city': 'Smyrna', 'zip_code': '30080', 'country': 'US', 'state': 'GA', 'display_address': ['2637 Cobb Pkwy SE', 'Smyrna, GA 30080']}",+17708500940,(770) 850-0940,12534.424730380128
6,nmvm51qU7arII08Bvo7AwQ,https://www.yelp.com/biz/kfc-smyrna-4,"I should have read the reviews before walked in the door. Coming from out of state, I thought all KFCs had a standard... boy was I mistaken.

For starters...",1,2019-12-02 19:03:59,"{'id': 'k7QHhZI8YcwJfGVG7i1zLA', 'profile_url': 'https://www.yelp.com/user_details?userid=k7QHhZI8YcwJfGVG7i1zLA', 'image_url': None, 'name': 'Eddie V.'}",2,IWRuceO5N4-xYZwJFKUhIQ,kfc-smyrna-4,KFC,https://s3-media2.fl.yelpcdn.com/bphoto/yL_DRtdWHB7Fg1P6DEQGyQ/o.jpg,False,22,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",1.5,"{'latitude': 33.889211364412, 'longitude': -84.4738735422869}","['delivery', 'pickup']",$,"{'address1': '2637 Cobb Pkwy SE', 'address2': '', 'address3': '', 'city': 'Smyrna', 'zip_code': '30080', 'country': 'US', 'state': 'GA', 'display_address': ['2637 Cobb Pkwy SE', 'Smyrna, GA 30080']}",+17708500940,(770) 850-0940,12534.424730380128
7,RYnk-4P4WtHECCXXhddxPQ,https://www.yelp.com/biz/kfc-clarkston-2,Was it everyone's first day?! Jesus! And by everyone I mean all 3 employees. Waited 30 minutes for food and it was not even right. These people need to...,1,2020-01-07 15:01:58,"{'id': 'o9cU3xQ8pD017hmpfmyu5g', 'profile_url': 'https://www.yelp.com/user_details?userid=o9cU3xQ8pD017hmpfmyu5g', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/9bochIGtewLHxZ39_DjkIw/o.jpg', 'name': 'Kelly R.'}",3,UUYx2Az3DWIcqICo9o0nMw,kfc-clarkston-2,KFC,https://s3-media2.fl.yelpcdn.com/bphoto/Y11zA-uGiSqr4uexnuk4sw/o.jpg,False,16,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",1.0,"{'latitude': 33.8193579248614, 'longitude': -84.2308527404928}","['delivery', 'pickup']",$,"{'address1': '4540 E Ponce De Leon Ave', 'address2': '', 'address3': '', 'city': 'Clarkston', 'zip_code': '30021', 'country': 'US', 'state': 'GA', 'display_address': ['4540 E Ponce De Leon Ave', 'Clarkston, GA 30021']}",+17702701448,(770) 270-1448,13207.653320766354
8,W7ugM36EAYWzSVIghq6dSw,https://www.yelp.com/biz/kfc-clarkston-2,Terrible service. Just took 37 minutes to get our food after all we got was a sorry it'll be 5 more minutes. Manager refused to give money back. Shiniqua...,1,2019-11-06 08:41:10,"{'id': 'oUSl-RLAD5_K65-LXq2ypw', 'profile_url': 'https://www.yelp.com/user_details?userid=oUSl-RLAD5_K65-LXq2ypw', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/H34XVHr4R7uzs_HazjOLhQ/o.jpg', 'name': 'Clint A.'}",3,UUYx2Az3DWIcqICo9o0nMw,kfc-clarkston-2,KFC,https://s3-media2.fl.yelpcdn.com/bphoto/Y11zA-uGiSqr4uexnuk4sw/o.jpg,False,16,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",1.0,"{'latitude': 33.8193579248614, 'longitude': -84.2308527404928}","['delivery', 'pickup']",$,"{'address1': '4540 E Ponce De Leon Ave', 'address2': '', 'address3': '', 'city': 'Clarkston', 'zip_code': '30021', 'country': 'US', 'state': 'GA', 'display_address': ['4540 E Ponce De Leon Ave', 'Clarkston, GA 30021']}",+17702701448,(770) 270-1448,13207.653320766354
9,nHkWqNyNCPLHsz5AhB9nJg,https://www.yelp.com/biz/kfc-clarkston-2,"Usually the service is pretty good here.

However, the last several times I have visited this location, there is either a long wait time, or they get my...",1,2019-01-25 13:48:47,"{'id': 'DA-VTFQ8sqEhcCr2m8vllg', 'profile_url': 'https://www.yelp.com/user_details?userid=DA-VTFQ8sqEhcCr2m8vllg', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/4LrIm8GnnWSe1dmcJe8Pqg/o.jpg', 'name': 'Alfonso M.'}",3,UUYx2Az3DWIcqICo9o0nMw,kfc-clarkston-2,KFC,https://s3-media2.fl.yelpcdn.com/bphoto/Y11zA-uGiSqr4uexnuk4sw/o.jpg,False,16,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",1.0,"{'latitude': 33.8193579248614, 'longitude': -84.2308527404928}","['delivery', 'pickup']",$,"{'address1': '4540 E Ponce De Leon Ave', 'address2': '', 'address3': '', 'city': 'Clarkston', 'zip_code': '30021', 'country': 'US', 'state': 'GA', 'display_address': ['4540 E Ponce De Leon Ave', 'Clarkston, GA 30021']}",+17702701448,(770) 270-1448,13207.653320766354
